Period (s), SA (ms2)
1.59574E-01, 5.41627E-02
1.58730E-01, 5.44571E-02
1.57895E-01, 5.47275E-02
1.57068E-01, 5.50035E-02
1.56250E-01, 5.53115E-02
1.55440E-01, 5.56733E-02
1.54639E-01, 5.61071E-02
1.53846E-01, 5.66289E-02
1.53061E-01, 5.72524E-02
1.52284E-01, 5.79874E-02
1.51515E-01, 5.88378E-02
1.50754E-01, 5.97989E-02
1.50000E-01, 6.08570E-02
1.49254E-01, 6.19901E-02
1.48515E-01, 6.31710E-02
1.47783E-01, 6.43719E-02
1.47059E-01, 6.55680E-02
1.46341E-01, 6.67417E-02
1.45631E-01, 6.78826E-02
1.44928E-01, 6.89866E-02
1.44231E-01, 7.00534E-02
1.43541E-01, 7.10830E-02
1.42857E-01, 7.20752E-02
1.42180E-01, 7.30298E-02
1.41509E-01, 7.39484E-02
1.40845E-01, 7.48361E-02
1.40187E-01, 7.57017E-02
1.39535E-01, 7.65563E-02
1.38889E-01, 7.74109E-02
1.38249E-01, 7.82749E-02
1.37615E-01, 7.91549E-02
1.36986E-01, 8.00565E-02
1.36364E-01, 8.09855E-02
1.35747E-01, 8.19497E-02
1.35135E-01, 8.29586E-02
1.34529E-01, 8.40217E-02
1.33929E-01, 8.51458E-02
1.33333E-01, 8.63314E-02
1.32743E-01, 8.75708E-02
1.32159E-01, 8.88471E-02
1.31579E-01, 9.01352E-02
1.31004E-01, 9.14045E-02
1.30435E-01, 9.26220E-02
1.29870E-01, 9.37567E-02
1.29310E-01, 9.47828E-02
1.28755E-01, 9.56831E-02
1.28205E-01, 9.64506E-02
1.27660E-01, 9.70891E-02
1.27119E-01, 9.76125E-02
1.26582E-01, 9.80422E-02
1.26050E-01, 9.84039E-02
1.25523E-01, 9.87241E-02
1.25000E-01, 9.90261E-02
1.24481E-01, 9.93272E-02
1.23967E-01, 9.96359E-02
1.23457E-01, 9.99514E-02
1.22951E-01, 1.00264E-01
1.22449E-01, 1.00557E-01
1.21951E-01, 1.00807E-01
1.21457E-01, 1.00993E-01
1.20968E-01, 1.01092E-01
1.20482E-01, 1.01088E-01
1.20000E-01, 1.00967E-01
1.19522E-01, 1.00725E-01
1.19048E-01, 1.00363E-01
1.18577E-01, 9.98850E-02
1.18110E-01, 9.92998E-02
1.17647E-01, 9.86166E-02
1.17188E-01, 9.78438E-02
1.16732E-01, 9.69884E-02
1.16279E-01, 9.60551E-02
1.15830E-01, 9.50468E-02
1.15385E-01, 9.39658E-02
1.14943E-01, 9.28145E-02
1.14504E-01, 9.15967E-02
1.14068E-01, 9.03185E-02
1.13636E-01, 8.89884E-02
1.13208E-01, 8.76173E-02
1.12782E-01, 8.62185E-02
1.12360E-01, 8.48066E-02
1.11940E-01, 8.33969E-02
1.11524E-01, 8.20052E-02
1.11111E-01, 8.06470E-02
1.10701E-01, 7.93365E-02
1.10294E-01, 7.80866E-02
1.09890E-01, 7.69084E-02
1.09489E-01, 7.58106E-02
1.09091E-01, 7.47995E-02
1.08696E-01, 7.38789E-02
1.08303E-01, 7.30502E-02
1.07914E-01, 7.23125E-02
1.07527E-01, 7.16626E-02
1.07143E-01, 7.10957E-02
1.06762E-01, 7.06050E-02
1.06383E-01, 7.01828E-02
1.06007E-01, 6.98205E-02
1.05634E-01, 6.95093E-02
1.05263E-01, 6.92409E-02
1.04895E-01, 6.90077E-02
1.04530E-01, 6.88036E-02
